Period,Collections,A Interest Due,A Interest Paid,A Interest Shortfall,B Interest Due,B Interest Paid,B Interest Shortfall,A Prin Due,A Prin Paid,A Prin Shortfall,Cash Reserve,B Prin Due,B Prin Paid,B Prin Shortfall,A Balance,B Balance,Cash Reserve
29,93522.83043570667,20618.33632509882,20618.33632509882,0,12608.560280933334,12608.560280933334,0,59769.52243458335,59769.52243458335,0,47158.01946823164,0.0,0.0,0,1589697.383573322,756513.6168559999,47158.01946823164
30,93522.83043570667,19871.217294666527,19871.217294666527,0,12608.560280933334,12608.560280933334,0,60607.936096808175,60607.936096808175,0,47593.13623153027,0.0,0.0,0,1529089.447476514,756513.6168559999,47593.13623153027
31,93522.83043570667,19113.61809345642,19113.61809345642,0,12608.560280933334,12608.560280933334,0,61458.26182043984,61458.26182043984,0,47935.52647240734,0.0,0.0,0,1467631.185656074,756513.6168559999,47935.52647240734
32,93522.83043570667,18345.389820700922,18345.389820700922,0,12608.560280933334,12608.560280933334,0,62320.67090675573,62320.67090675573,0,48183.73589972403,0.0,0.0,0,1405310.5147493181,756513.6168559999,48183.73589972403
33,93522.83043570667,17566.381434366474,17566.381434366474,0,12608.560280933334,12608.560280933334,0,63195.33714850846,63195.33714850846,0,48336.287471622425,0.0,0.0,0,1342115.1776008096,756513.6168559999,48336.287471622425
34,93522.83043570667,16776.43972001012,16776.43972001012,0,12608.560280933334,12608.560280933334,0,64082.436866548116,64082.436866548116,0,48391.68103983751,0.0,0.0,0,1278032.7407342615,756513.6168559999,48391.68103983751
35,93522.83043570667,15975.409259178268,15975.409259178268,0,12608.560280933334,12608.560280933334,0,64982.148946988105,64982.148946988105,0,48348.39298844448,0.0,0.0,0,1213050.5917872733,756513.6168559999,48348.39298844448
36,93522.83043570667,15163.132397340916,15163.132397340916,0,12608.560280933334,12608.560280933334,0,65894.65487892278,65894.65487892278,0,48204.8758669541,0.0,0.0,0,1147155.9369083506,756513.6168559999,48204.8758669541
37,93522.83043570667,14339.449211354382,14339.449211354382,0,12608.560280933334,12608.560280933334,0,66820.13879270511,66820.13879270511,0,47959.55801766792,0.0,0.0,0,1080335.7981156455,756513.6168559999,47959.55801766792
38,93522.83043570667,13504.197476445568,13504.197476445568,0,12608.560280933334,12608.560280933334,0,67758.78749879263,67758.78749879263,0,47610.84319720305,0.0,0.0,0,1012577.0106168529,756513.6168559999,47610.84319720305
39,93522.83043570667,12657.21263271066,12657.21263271066,0,12608.560280933334,12608.560280933334,0,68710.79052717057,68710.79052717057,0,47157.11019209515,0.0,0.0,0,943866.2200896824,756513.6168559999,47157.11019209515
40,93522.83043570667,11798.32775112103,11798.32775112103,0,12608.560280933334,12608.560280933334,0,69676.34016736031,69676.34016736031,0,46596.71242838714,0.0,0.0,0,874189.8799223221,756513.6168559999,46596.71242838714
